block_number,from,token,amount,to_chain,timestamp,amount_usd,symbol,date
15093112,0x7bF27944dCF1B5e613322CE305990F14219086f4,0xdAC17F958D2ee523a2206206994597C13D831ec7,3490000000,bsc,1657166295,3490.0,USDT,2022-07-07 03:58:15
15093144,0x1eA5284C167409A602f231885C97ec6A06300D54,0xdAC17F958D2ee523a2206206994597C13D831ec7,50000000,bsc,1657166683,50.0,USDT,2022-07-07 04:04:43
15093274,0x4F30d841795A5Fa9FcDE37cDEc2eCa1bb9bfE8F8,0xdAC17F958D2ee523a2206206994597C13D831ec7,43750100,bsc,1657168316,43.7501,USDT,2022-07-07 04:31:56
15093390,0xd6B4Dd847c00361d30743b18f2e1E9696670BAC3,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,994300000,arbitrum,1657169761,994.3,USDC,2022-07-07 04:56:01
15093689,0x094E1E1d7b446cE3ed4312Fd26d8afEA95c3Ba08,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,1066120000,bsc,1657174052,1066.12,USDC,2022-07-07 06:07:32
15093693,0x303F2d38AB911296DEcA9dC19968a854d9cBCAdC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,1000000000,avax,1657174155,1000.0,USDC,2022-07-07 06:09:15
15093700,0x303F2d38AB911296DEcA9dC19968a854d9cBCAdC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,1000000000,optimism,1657174250,1000.0,USDC,2022-07-07 06:10:50
15093856,0x303F2d38AB911296DEcA9dC19968a854d9cBCAdC,0x99D8a9C45b2ecA8864373A26D1459e3Dff1e17F3,167163923586084801965,ftm,1657175947,167.1639235860848,MIM,2022-07-07 06:39:07
15093962,0xBbbBB456add87E8157fE1d977F5f7F2Ce00AE50d,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,11199361324,avax,1657177411,11199.361324,USDC,2022-07-07 07:03:31
15094153,0x6906eb950765d8cDD0CEe916410F1849C479a4CF,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,21864100000,bsc,1657179848,21864.1,USDC,2022-07-07 07:44:08
15094160,0x56feEA4525A1fe9A8ebEdfd0429016d1E7CeCF03,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,19352000000,bsc,1657179977,19352.0,USDC,2022-07-07 07:46:17
15094374,0x71D5B84d22b6dF54Fa6CC6c325Ff36c86b9F356c,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,66526560,matic,1657182616,66.52656,USDC,2022-07-07 08:30:16
15094475,0x984d30Cd882cfBDF3057025b94319eB0446c3C23,0xdAC17F958D2ee523a2206206994597C13D831ec7,2000000000,bsc,1657183743,2000.0,USDT,2022-07-07 08:49:03
15094514,0x37d768C8FC5A0F54754A6bDB8b8469e6fF8CaD07,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,3615970,arbitrum,1657184222,739.7684251307429,WBTC,2022-07-07 08:57:02
15094517,0xF7A536240A624AcD57A9f8197c37618A7971607e,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,1131874036,bsc,1657184265,1131.874036,USDC,2022-07-07 08:57:45
15094528,0xdfDb8dC19daeB2b27cBffE2692FFF9DCC241d4b5,0xdAC17F958D2ee523a2206206994597C13D831ec7,251449908,bsc,1657184430,251.449908,USDT,2022-07-07 09:00:30
15094600,0x15fB0d9779cdB933F41F348d3bD2152a9C49d3Ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,5040000000,bsc,1657185332,5040.0,USDC,2022-07-07 09:15:32
15094798,0x172332E6797626fC891123c26d8eF51dDF31ec25,0xdAC17F958D2ee523a2206206994597C13D831ec7,4500900000,matic,1657187755,4500.9,USDT,2022-07-07 09:55:55
15094802,0xDcE4201950B63AcA90f10dff584185CEe782Ce88,0xdAC17F958D2ee523a2206206994597C13D831ec7,6000000000,bsc,1657187825,6000.0,USDT,2022-07-07 09:57:05
15094863,0xd598E2906913ac80fFDE233772f56CF26ed90d55,0xdAC17F958D2ee523a2206206994597C13D831ec7,745548000,bsc,1657188583,745.548,USDT,2022-07-07 10:09:43
15094892,0x350A2A378a4763eBCcfA9EABf59CcC9Cc71cec11,0xdAC17F958D2ee523a2206206994597C13D831ec7,50000000,bsc,1657188984,50.0,USDT,2022-07-07 10:16:24
15094893,0xFa1F780A446E9CDb4c51b031686Bcf8b02F8Ed7C,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,590886758,avax,1657189014,590.886758,USDC,2022-07-07 10:16:54
15094903,0xCbf12Ce7153a4589DE2d78c89F64cF004CDac0E8,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,236398400,avax,1657189148,236.3984,USDC,2022-07-07 10:19:08
15094919,0x1f2FF0A7502515ad2517cbAc4ac9b4130f306A81,0xdAC17F958D2ee523a2206206994597C13D831ec7,100000000,bsc,1657189339,100.0,USDT,2022-07-07 10:22:19
15094967,0x967387B5DC188b6511FfD1C329AD8F87814Cd41C,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,600000000,bsc,1657189957,600.0,USDC,2022-07-07 10:32:37
15095075,0xc1C1934BBAE9aafb850e443eC789A544f3d22314,0xdAC17F958D2ee523a2206206994597C13D831ec7,12778306659,bsc,1657191467,12778.306659,USDT,2022-07-07 10:57:47
15095243,0x97A5370695c5A64004359f43889F398fb4D07fb1,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,9908059857,arbitrum,1657194081,9908.059857,USDC,2022-07-07 11:41:21
15095277,0x18D35545dCDb30208A33AF560E1Eaab8C490F6C4,0xdAC17F958D2ee523a2206206994597C13D831ec7,46590000000,bsc,1657194661,46590.0,USDT,2022-07-07 11:51:01
15095720,0x18D35545dCDb30208A33AF560E1Eaab8C490F6C4,0xdAC17F958D2ee523a2206206994597C13D831ec7,13717000000,bsc,1657200539,13717.0,USDT,2022-07-07 13:28:59
15095738,0xbC70F9E663F4b79De2DaFeD45EB524fe1356AC3e,0xdAC17F958D2ee523a2206206994597C13D831ec7,18124171539,bsc,1657200822,18124.171539,USDT,2022-07-07 13:33:42
15095812,0xaDf45A69d2649dcaEa4f35e8226441b480fcea81,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,575000000,avax,1657201753,575.0,USDC,2022-07-07 13:49:13
15095870,0xbEaA65e2098213a87671620974a41515df17C23D,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,3997908926,arbitrum,1657202549,3997.908926,USDC,2022-07-07 14:02:29
15095929,0xe5e3fDb124CeE2436a6976ABA2D34be186734384,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,125000000,bsc,1657203319,125.0,USDC,2022-07-07 14:15:19
15095950,0x6cc12f719081bc13d50029b6E18E7464B14d467c,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,415000000,matic,1657203632,415.0,USDC,2022-07-07 14:20:32
15096020,0x833538ce2cB1f13280D3f7813d467BAef7Ad0C10,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,900000000,avax,1657204829,900.0,USDC,2022-07-07 14:40:29
15096060,0x040993fbF458b95871Cd2D73Ee2E09F4AF6d56bB,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,200844035,bsc,1657205334,200.844035,USDC,2022-07-07 14:48:54
15096075,0x16B942a59054186DC4C4067169FB126bd0f443dd,0xdAC17F958D2ee523a2206206994597C13D831ec7,500000000,bsc,1657205529,500.0,USDT,2022-07-07 14:52:09
15096081,0x9f01bBBcf3B8dee61e8b792E567Cd842dAbDc7C1,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,90000000000,arbitrum,1657205638,90000.0,USDC,2022-07-07 14:53:58
15096085,0x88f859dB067C45b114897dB6920F3E4A61A5ca66,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,15000000000,avax,1657205740,15000.0,USDC,2022-07-07 14:55:40
15096119,0xc1C1934BBAE9aafb850e443eC789A544f3d22314,0xdAC17F958D2ee523a2206206994597C13D831ec7,7077222003,bsc,1657206284,7077.222003,USDT,2022-07-07 15:04:44
15096196,0x27B234bAE8FB6Fc36E607c60EeCEd1E110C545f8,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,670000000,matic,1657207182,670.0,USDC,2022-07-07 15:19:42
15096245,0xf6910D47FbB1F5518d60C721D4189936eCd5a1b6,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,200000000,avax,1657207696,200.0,USDC,2022-07-07 15:28:16
15096330,0x1962264679329098CBf492E8172c0736c97C6CF4,0xdAC17F958D2ee523a2206206994597C13D831ec7,2572000000,bsc,1657208894,2572.0,USDT,2022-07-07 15:48:14
15096352,0xa48Ec71C3dd134cCB65556385610e3AAa56515F3,0xdAC17F958D2ee523a2206206994597C13D831ec7,250295661678,bsc,1657209182,250295.661678,USDT,2022-07-07 15:53:02
15096383,0xa402cE98e1B9cc98A0a9A3011785D17176E85495,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,300000000000,arbitrum,1657209561,300000.0,USDC,2022-07-07 15:59:21
15096423,0x36478bDc4166476A32E2ff366d16140c1fb011E6,0xdAC17F958D2ee523a2206206994597C13D831ec7,37821500,avax,1657210197,37.8215,USDT,2022-07-07 16:09:57
15096423,0x15466303e5f9eF9fEF533f01C5E19eDEa14E6789,0xdAC17F958D2ee523a2206206994597C13D831ec7,120171000000,bsc,1657210197,120171.0,USDT,2022-07-07 16:09:57
15096457,0x6AeeA37844c840d8775Faf4d3ec79DA68E132BAD,0xdAC17F958D2ee523a2206206994597C13D831ec7,1221097430,bsc,1657210770,1221.09743,USDT,2022-07-07 16:19:30
15096477,0x6B136D9759c88eB15E9DEfe5Cd9bF6414dE2AC09,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4256400000,avax,1657211113,4256.4,USDC,2022-07-07 16:25:13
15096603,0x80c2D1566c9735ab44FD1A10094f1ff471213187,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,150882450000000000,bsc,1657212687,185.6002073955865,WETH,2022-07-07 16:51:27
15096734,0xC91E1ED5B530C7837D9b442a6B4692e2f8dD87ab,0x6B175474E89094C44Da98b954EedeAC495271d0F,272980000000000000000,bsc,1657214368,272.98,DAI,2022-07-07 17:19:28
15096789,0x38D470b3d9Ac6BcC3B06718461213dd1486b4F33,0xdAC17F958D2ee523a2206206994597C13D831ec7,1210000000,bsc,1657215097,1210.0,USDT,2022-07-07 17:31:37
15096830,0xc1C1934BBAE9aafb850e443eC789A544f3d22314,0xdAC17F958D2ee523a2206206994597C13D831ec7,6099850840,bsc,1657215632,6099.85084,USDT,2022-07-07 17:40:32
15096843,0xF9ab2ef128d856339ad2c258cdaa14a22C662a14,0x99D8a9C45b2ecA8864373A26D1459e3Dff1e17F3,6635802457034200916081,avax,1657215860,6635.802457034201,MIM,2022-07-07 17:44:20
15097050,0x3f2C687fD2fE3BB2bCB6f175ECdEaB2F5FD0C607,0xdAC17F958D2ee523a2206206994597C13D831ec7,400000000000,bsc,1657218837,400000.0,USDT,2022-07-07 18:33:57
15092119,0x4402446f35C79e3aA6065b809b76C4a95912b23c,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,299806268650939446985258,ftm,1657152204,299806.26865093946,nUSD,2022-07-07 00:03:24
15092164,0xc45b3E05102A17eEc215d17AFb756F501552B5b8,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,80612834299032651784254,bsc,1657152953,80612.83429903265,nUSD,2022-07-07 00:15:53
15092227,0xf0524Fc21826C5B5F31F7214B29B425d7D8a0829,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,31647345404550936152221,avax,1657153876,31647.345404550935,nUSD,2022-07-07 00:31:16
15092271,0x78a6d885F11E5c0e22E5E4708E461cFe80Dd9Fb7,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,499683835023353009863,ftm,1657154421,499.683835023353,nUSD,2022-07-07 00:40:21
15092293,0x8bace3A49A375027868CDd34e84521EeD1f1B01D,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,150000000000000000,optimism,1657154844,177.68219759277832,WETH,2022-07-07 00:47:24
15092379,0x31CE4AE28D04791f8dA6e3810CeA7D151C429498,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,74000000000000000,avax,1657155761,87.59018468806418,WETH,2022-07-07 01:02:41
15092379,0xbF18284bb21C03BE837bf7A8649A6aD950AB7BDf,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,3215815522232217241019,avax,1657155761,3215.815522232217,nUSD,2022-07-07 01:02:41
15092422,0x4232cc095D14C6a804A8235F3B48D9d66B732B0D,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,10000000000000000,optimism,1657156433,11.819316820461383,WETH,2022-07-07 01:13:53
15092570,0x6dD91BdaB368282dc4Ea4f4beFc831b78a7C38C0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3500000000000000000,ftm,1657158528,4143.837357071213,WETH,2022-07-07 01:48:48
15092666,0x4232cc095D14C6a804A8235F3B48D9d66B732B0D,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,249811153751382072115,optimism,1657159768,249.81115375138208,nUSD,2022-07-07 02:09:28
15092675,0xaaEDD6eD3c301D3985d5eDD4F0E548d69d94dBe3,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,49961704721927778468142,arbitrum,1657159910,49961.70472192778,nUSD,2022-07-07 02:11:50
15092730,0x6dD91BdaB368282dc4Ea4f4beFc831b78a7C38C0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,1600000000000000000,ftm,1657160657,1884.2121612838516,WETH,2022-07-07 02:24:17
15092744,0x64916cd4b15045fd156Bc2a6460cD3207638e289,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,80000000000000000,arbitrum,1657160949,94.21887494483452,WETH,2022-07-07 02:29:09
15092751,0x7c3D0402278366a3e1ed3f2b997005b7cA0e1EBE,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,19800000000000000000,arbitrum,1657161028,23319.64045336008,WETH,2022-07-07 02:30:28
15092769,0x8fE8686b254E6685d38eaBdC88235d74bF0cbeaD,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,5323866701139034487082,arbitrum,1657161264,5323.866701139034,nUSD,2022-07-07 02:34:24
15092776,0x91a9889265c33175c584873067752434e2423eAC,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,999224552697719771500,optimism,1657161379,999.2245526977198,nUSD,2022-07-07 02:36:19
15092828,0x8C1D300c5ac42De022c366564EB50cb8c35003D3,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,3012541439323742782005,avax,1657162052,3012.541439323743,nUSD,2022-07-07 02:47:32
15092843,0x43949405198B10A385959b3F53749F9267b3E3e6,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,4996111863068010700515,bsc,1657162325,4996.11186306801,nUSD,2022-07-07 02:52:05
15092861,0xCf47F284F5b4fa2c96459FFF05d617b504d0d165,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,299766395138524368190,bsc,1657162563,299.7663951385244,nUSD,2022-07-07 02:56:03
15092894,0x38c83a2186e9682e9aaC330b6099f1cca47b5482,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,60000000000000000000,arbitrum,1657163055,70146.40152457372,WETH,2022-07-07 03:04:15
15092958,0x8b5B9497e096ee6FfD6041D1Db37a2ac2b41AB0d,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,1200000000000000000,arbitrum,1657164126,1402.8646302908726,WETH,2022-07-07 03:22:06
15093020,0x2feBF704f4AB5aBDF0A7E2B02e5e5d6978f52f00,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,2580000000000000000,optimism,1657165061,3017.65292780341,WETH,2022-07-07 03:37:41
15093069,0xd46B074094681D720145c9d092E41F77145b09d0,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,998208349493232698546,bsc,1657165785,998.2083494932327,nUSD,2022-07-07 03:49:45
15093075,0x9F9e26f06eF1FD5954DeEB897a8a16C1dcAea669,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,99924111514073435160,metis,1657165869,99.92411151407343,nUSD,2022-07-07 03:51:09
15093120,0xA5D3a10C2276dBE5b7413F3606308E55897E15b7,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,264798873581290522075,bsc,1657166347,264.79887358129054,nUSD,2022-07-07 03:59:07
15093152,0x924Ed5D66888158d32B51da5E3A37b636EA12B5d,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,80000000000000000,boba,1657166819,93.82484341023068,WETH,2022-07-07 04:06:59
15093173,0xba5d74913ca02d12532fB9710d469A32198a501E,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,9100000000000000000,arbitrum,1657167063,10671.94594774323,WETH,2022-07-07 04:11:03
15093198,0xCab7784E3F16a2629F0eD194dbf21fcc8230E169,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,2000000000000000000,arbitrum,1657167307,2344.858625877633,WETH,2022-07-07 04:15:07
15093346,0x0eFe81db03b6a7828D2097418B8d804393277727,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,9998797266370442113994,bsc,1657169188,9998.797266370442,nUSD,2022-07-07 04:46:28
15093516,0x5275817b74021E97c980E95EdE6bbAc0D0d6f3a2,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,27831657705179875218067,matic,1657171651,27831.657705179874,nUSD,2022-07-07 05:27:31
15093566,0x1CB4831B6dF1d9cB07279b93a0E101DB9B2295D0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,1100000000000000000,arbitrum,1657172231,1287.0649408224676,WETH,2022-07-07 05:37:11
15093598,0xEAeFE1545ACDbA9F03757eC4405b0B1A729E7010,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,578499449832794493823,bsc,1657172612,578.4994498327945,nUSD,2022-07-07 05:43:32
15093604,0x2291f270337c869e9397ea6dd949399D31b05EcD,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,499622868638468556370,bsc,1657172709,499.62286863846856,nUSD,2022-07-07 05:45:09
15093614,0x2327E9218a8dcae3d0dD513823B6E164CB71397F,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,1050459136106628894352,bsc,1657172799,1050.4591361066289,nUSD,2022-07-07 05:46:39
15093670,0x33F9D8552EA88624c8BE6b61f4b8d9DED759f5F3,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,274792590956204779493,bsc,1657173748,274.7925909562048,nUSD,2022-07-07 06:02:28
15093702,0xFf6F09546F46112ecB924dE1133d51efe3418c6A,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,100000000000000000,arbitrum,1657174275,116.45344573721162,WETH,2022-07-07 06:11:15
15093703,0xA273a8BA502D9b78cfe2328079DD70337905CaF0,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,1164405585390609274100,bsc,1657174295,1164.4055853906093,nUSD,2022-07-07 06:11:35
15093714,0xFf6F09546F46112ecB924dE1133d51efe3418c6A,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,2450000000000000000,arbitrum,1657174430,2853.2051696088265,WETH,2022-07-07 06:13:50
15093787,0xC096BaE49Bb3475B419375449eFAAEbf8D416701,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,10000000000000000000,ftm,1657175101,11643.24253761284,WETH,2022-07-07 06:25:01
15093793,0x6C3e36cB2930940EB1D77b8C63e2680F6AFcA357,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,1998490266016475992097,bsc,1657175166,1998.490266016476,nUSD,2022-07-07 06:26:06
15093830,0xFf6F09546F46112ecB924dE1133d51efe3418c6A,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,2985000000000000000,arbitrum,1657175642,3479.9167664292877,WETH,2022-07-07 06:34:02
15093900,0xc270b3a8428B222905c2564b0118Fb4A0e10BB81,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,9893683940912551650657,ftm,1657176608,9893.683940912551,nUSD,2022-07-07 06:50:08
15093907,0xE030fEc019Fe9CbAB01eAb3106eb9ce32851e64d,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,19350581838109650866146,avax,1657176706,19350.58183810965,nUSD,2022-07-07 06:51:46
15093998,0xA736eED9Aaec03a3615A59D60DAe2D63E4b98C08,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,190000000000000000,arbitrum,1657177845,221.75590765295888,WETH,2022-07-07 07:10:45
15094001,0x924Ed5D66888158d32B51da5E3A37b636EA12B5d,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,50000000000000000,boba,1657177914,58.356457221664996,WETH,2022-07-07 07:11:54
15094044,0x924Ed5D66888158d32B51da5E3A37b636EA12B5d,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,42000000000000000,boba,1657178583,49.026940339017045,WETH,2022-07-07 07:23:03
15094109,0x48211A25DAbc4eD69970fB0612862F55947f5B37,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,4458570865426660416178,avax,1657179385,4458.57086542666,nUSD,2022-07-07 07:36:25
15094121,0x227F47c75Bd7c14779E2CDF2397E2F1BE34d6b51,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,2636276836853946546047,bsc,1657179500,2636.2768368539464,nUSD,2022-07-07 07:38:20
15094488,0x60980478b0757B0f02B4Eb665B9F4e9e4b3bE19B,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,4996208982131153198,bsc,1657183917,4.9962089821311535,nUSD,2022-07-07 08:51:57
15094492,0x04600d91B42121965912360D83760d098Ee03BB1,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,777364558010191741058,bsc,1657183929,777.3645580101918,nUSD,2022-07-07 08:52:09
15094513,0x60980478b0757B0f02B4Eb665B9F4e9e4b3bE19B,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,1998481474640899982603,bsc,1657184209,1998.4814746409,nUSD,2022-07-07 08:56:49
15094576,0xD5eDCcEb8D3ddc4d3100e9430050fa7896817651,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,103092304659446151,arbitrum,1657185090,122.13669365457055,WETH,2022-07-07 09:11:30
15094771,0x48198DD06B89D8E8D4cc29A7D2AB4c60ABd3ad14,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,800000000000000000,optimism,1657187415,950.6893985957876,WETH,2022-07-07 09:50:15
15094814,0x48198DD06B89D8E8D4cc29A7D2AB4c60ABd3ad14,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,800000000000000000,optimism,1657187982,950.0853191574724,WETH,2022-07-07 09:59:42
15094974,0x980da0228A9B08888b74dB0e805DD85095fc7fdb,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,4043887030866919461314,matic,1657190130,4043.8870308669193,nUSD,2022-07-07 10:35:30
15095042,0xFf8904c3C8CB2Ab65C7620d7407e02c82c122516,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,320000000000000000,optimism,1657190970,378.9106124774323,WETH,2022-07-07 10:49:30
15095055,0x3E38Ef489af0E780fB1A18dB36B47EFCb6A859B5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3500000000000000000,metis,1657191120,4136.370042126379,WETH,2022-07-07 10:52:00
15095151,0x66A9f1C6ecac6572A67988807FDB99481e3B3342,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,3497334270706941616891,bsc,1657192548,3497.3342707069414,nUSD,2022-07-07 11:15:48
15095207,0xAb3f39C3C1CC034FB1300243eDa7843E8236601c,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,1334000000000000000,avax,1657193529,1575.9700853961883,WETH,2022-07-07 11:32:09
15095523,0x304aE8f9300e09c8B33bb1a8AE1c14A6253a5F4D,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,699519216481462610464,bsc,1657197825,699.5192164814626,nUSD,2022-07-07 12:43:45
15095606,0x8645A176D1DF7c43BbA6945D354F91d0Ef18C95c,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,523501331748314159603,cronos,1657198929,523.5013317483142,nUSD,2022-07-07 13:02:09
15095628,0x2f820ace6F0C8F3696D559576673049E875B90c9,0x1B84765dE8B7566e4cEAF4D0fD3c5aF52D3DdE4F,29977895383308729522671,bsc,1657199265,29977.89538330873,nUSD,2022-07-07 13:07:45
